analysis,paired_transects,UV_mean_W50_reference_px,NIR_mean_W50_reference_px,Gx
Gaussian sigma = 0 ref px,5,14.338267577683647,5.500925931116311,2.6065189310363905
Gaussian sigma = 0.5 ref px,5,14.419994509040833,5.709871076117477,2.5254501050566542
Gaussian sigma = 0.75 ref px,5,14.526104873392228,6.050997585336955,2.400613232534174
Gaussian sigma = 1 ref px,5,14.702956614075493,6.425934162558212,2.288065243454368
Leave parent M0_001 out,4,14.582537041720265,6.45314100105528,2.259758006114478
Leave parent M0_002 out,4,14.77786252443572,6.5281969367118,2.2636974141100605
Leave parent M0_003 out,4,15.114463716386558,5.625510850579254,2.686771764884292
Leave parent M0_004 out,3,13.330706656904406,5.445856208889661,2.4478624013509096
