sigma_ref_px,NIR,UV,Gx
0.0,5.500925931116311,14.338267577683647,2.6065189310363905
0.5,5.709871076117477,14.419994509040833,2.5254501050566542
0.75,6.050997585336955,14.526104873392228,2.400613232534174
1.0,6.425934162558212,14.702956614075493,2.288065243454368
