condition,ROI_ID,channel,distance_reference_px,raw_mean,filtered,normalized,profile_stack_SD
UV,M4_002,Lab_a,-22.0,3.521488904953003,3.350605306816753,0.08492543804293481,0.9337059855461121
UV,M4_002,Lab_a,-21.8,3.4698679447174072,3.2857492249448566,0.07985244823364496,0.8132304549217224
UV,M4_002,Lab_a,-21.6,3.3579986095428467,3.2110745337016033,0.07401145481012701,0.730289876461029
UV,M4_002,Lab_a,-21.400000000000002,3.1614561080932617,3.130487126776492,0.06770797359003602,0.6044456362724304
UV,M4_002,Lab_a,-21.200000000000003,2.9753236770629883,3.049226150694595,0.06135180634005234,0.5660358667373657
UV,M4_002,Lab_a,-21.000000000000004,2.8465638160705566,2.973087206906924,0.05539628027716328,0.6546090245246887
UV,M4_002,Lab_a,-20.800000000000004,2.689194679260254,2.907467073270009,0.05026352696218766,0.8529439568519592
UV,M4_002,Lab_a,-20.600000000000005,2.6235086917877197,2.8564694677540774,0.04627453586661841,0.9693116545677185
UV,M4_002,Lab_a,-20.400000000000006,2.6446340084075928,2.822293774195712,0.0436013409997215,0.9928435683250427
UV,M4_002,Lab_a,-20.200000000000006,2.668461799621582,2.8050402217743997,0.042251782206141446,1.017905831336975
UV,M4_002,Lab_a,-20.000000000000007,2.7051525115966797,2.802940125774487,0.042087514410452956,1.048848271369934
UV,M4_002,Lab_a,-19.800000000000008,2.76924729347229,2.8129125058535074,0.0428675458439762,1.0863909721374512
UV,M4_002,Lab_a,-19.60000000000001,2.844891309738159,2.8312746755365894,0.04430381977527408,1.1182563304901123
UV,M4_002,Lab_a,-19.40000000000001,2.907583475112915,2.854433255878403,0.04611526503500614,1.1548124551773071
UV,M4_002,Lab_a,-19.20000000000001,2.915355682373047,2.87941965651621,0.04806968090701015,1.1165350675582886
UV,M4_002,Lab_a,-19.00000000000001,2.921102285385132,2.9042105741280784,0.05000880625621583,1.060271978378296
UV,M4_002,Lab_a,-18.80000000000001,2.944420099258423,2.927840571448001,0.05185712536735626,0.9955275058746338
UV,M4_002,Lab_a,-18.600000000000012,2.960496664047241,2.950359710761484,0.05361855407155893,0.9386011958122253
UV,M4_002,Lab_a,-18.400000000000013,2.9904375076293945,2.972696114110671,0.055365689317724856,0.8840364813804626
UV,M4_002,Lab_a,-18.200000000000014,3.000662088394165,2.9964690857331173,0.0572251917621589,0.8320237398147583
UV,M4_002,Lab_a,-18.000000000000014,2.9900002479553223,3.0237620109218413,0.0593600221026902,0.7999918460845947
UV,M4_002,Lab_a,-17.800000000000015,2.9808225631713867,3.0568650032168514,0.06194931115196215,0.7962281107902527
UV,M4_002,Lab_a,-17.600000000000016,2.9920027256011963,3.0979868284930903,0.06516582677462657,0.7733965516090393
UV,M4_002,Lab_a,-17.400000000000016,3.031435251235962,3.1489578687825683,0.06915273995985662,0.7788805961608887
UV,M4_002,Lab_a,-17.200000000000017,3.1087164878845215,3.210972633142001,0.07400348423149347,0.8088775873184204
UV,M4_002,Lab_a,-17.000000000000018,3.1858139038085938,3.2843933263314726,0.07974639095035559,0.8351923823356628
UV,M4_002,Lab_a,-16.80000000000002,3.2856109142303467,3.3686321405888817,0.08633548227287152,0.8166562914848328
UV,M4_002,Lab_a,-16.60000000000002,3.390108346939087,3.462112970550269,0.093647476523384,0.7669298648834229
UV,M4_002,Lab_a,-16.40000000000002,3.517259359359741,3.562301488309666,0.10148414064079368,0.7129035592079163
UV,M4_002,Lab_a,-16.20000000000002,3.645829677581787,3.665810153129711,0.10958050395244823,0.6685943603515625
UV,M4_002,Lab_a,-16.00000000000002,3.7821197509765625,3.7685970958439072,0.11762041474982134,0.6269561648368835
UV,M4_002,Lab_a,-15.800000000000022,3.9336752891540527,3.866287959342106,0.12526171438870431,0.5927609205245972
UV,M4_002,Lab_a,-15.600000000000023,4.081503868103027,3.954632570350133,0.1321719577832193,0.5624607801437378
UV,M4_002,Lab_a,-15.400000000000023,4.200647830963135,4.030059916948604,0.1380718232945465,0.5210374593734741
UV,M4_002,Lab_a,-15.200000000000024,4.296176910400391,4.0902470692950015,0.14277961324563443,0.5112664103507996
UV,M4_002,Lab_a,-15.000000000000025,4.320737361907959,4.134587514185679,0.14624788666853533,0.5482707023620605
UV,M4_002,Lab_a,-14.800000000000026,4.3092241287231445,4.164443884770289,0.14858322761647105,0.6032569408416748
UV,M4_002,Lab_a,-14.600000000000026,4.259965419769287,4.183121796083266,0.15004419860045223,0.6276717185974121
UV,M4_002,Lab_a,-14.400000000000027,4.185056209564209,4.195572595190015,0.1510180899482338,0.6293662190437317
UV,M4_002,Lab_a,-14.200000000000028,4.134814262390137,4.2078995442552865,0.15198229384681766,0.5963465571403503
UV,M4_002,Lab_a,-14.000000000000028,4.105459213256836,4.226782015737201,0.1534592653603168,0.5536125302314758
UV,M4_002,Lab_a,-13.80000000000003,4.103469371795654,4.258908545468839,0.1559721763045573,0.5278083086013794
UV,M4_002,Lab_a,-13.60000000000003,4.132569789886475,4.310468685690061,0.160005168405814,0.5246862769126892
UV,M4_002,Lab_a,-13.40000000000003,4.157442092895508,4.386711307158669,0.16596880405231748,0.5328468680381775
UV,M4_002,Lab_a,-13.200000000000031,4.217989921569824,4.491540821560456,0.17416848314060213,0.5168135166168213
UV,M4_002,Lab_a,-13.000000000000032,4.320899486541748,4.627150279563907,0.18477574430469235,0.5578732490539551
UV,M4_002,Lab_a,-12.800000000000033,4.492140293121338,4.793723519986428,0.19780496726689548,0.6020925045013428
UV,M4_002,Lab_a,-12.600000000000033,4.740132808685303,4.98926943147145,0.2131004089214069,0.6277887225151062
UV,M4_002,Lab_a,-12.400000000000034,5.042240619659424,5.209649182994701,0.2303383332822944,0.6291970014572144
UV,M4_002,Lab_a,-12.200000000000035,5.368513584136963,5.448819651194979,0.2490460521707036,0.6311833262443542
UV,M4_002,Lab_a,-12.000000000000036,5.685657501220703,5.699276418313653,0.2686365761522529,0.632821798324585
UV,M4_002,Lab_a,-11.800000000000036,5.994762897491455,5.9526386393577155,0.2884543623693466,0.6321976780891418
UV,M4_002,Lab_a,-11.600000000000037,6.310958385467529,6.200308079687293,0.3078268639235747,0.6197472810745239
UV,M4_002,Lab_a,-11.400000000000038,6.631329536437988,6.4341641666617235,0.32611889624839135,0.5775052309036255
UV,M4_002,Lab_a,-11.200000000000038,6.885620594024658,6.6472569954268605,0.3427868434563881,0.4549207091331482
UV,M4_002,Lab_a,-11.000000000000039,7.120891094207764,6.834464864857999,0.3574300902642801,0.34926870465278625
UV,M4_002,Lab_a,-10.80000000000004,7.313835144042969,6.993058457630351,0.36983515169771564,0.28844135999679565
UV,M4_002,Lab_a,-10.60000000000004,7.407739639282227,7.123073605362021,0.3800048304766287,0.2948385179042816
UV,M4_002,Lab_a,-10.400000000000041,7.449553966522217,7.227388684363847,0.3881642708476456,0.3852820098400116
UV,M4_002,Lab_a,-10.200000000000042,7.456552028656006,7.311421100684326,0.39473721789193067,0.5092906355857849
UV,M4_002,Lab_a,-10.000000000000043,7.412444591522217,7.382419808529546,0.40029067889321296,0.5647836923599243
UV,M4_002,Lab_a,-9.800000000000043,7.353744983673096,7.448438659111289,0.40545461952230816,0.6037004590034485
UV,M4_002,Lab_a,-9.600000000000044,7.332462787628174,7.517153332898948,0.41082942524310395,0.6411570906639099
UV,M4_002,Lab_a,-9.400000000000045,7.392567157745361,7.594746064047783,0.41689866536726833,0.6564075350761414
UV,M4_002,Lab_a,-9.200000000000045,7.480555534362793,7.685083704437792,0.42396480189397073,0.6824672222137451
UV,M4_002,Lab_a,-9.000000000000046,7.6158671379089355,7.789347319392255,0.4321202167891913,0.6922285556793213
UV,M4_002,Lab_a,-8.800000000000047,7.819675922393799,7.906165045576673,0.4412576040221804,0.6145543456077576
UV,M4_002,Lab_a,-8.600000000000048,8.020689964294434,8.0321845334117,0.4511147455439539,0.5549675822257996
UV,M4_002,Lab_a,-8.400000000000048,8.209297180175781,8.162929013522515,0.4613414721065166,0.5227680206298828
UV,M4_002,Lab_a,-8.200000000000049,8.381603240966797,8.293741607586904,0.4715735264869551,0.5215790271759033
UV,M4_002,Lab_a,-8.00000000000005,8.524590492248535,8.420629378700058,0.4814985844183295,0.5651934742927551
UV,M4_002,Lab_a,-7.8000000000000504,8.652709007263184,8.540872462029652,0.4909039002925365,0.6370302438735962
UV,M4_002,Lab_a,-7.600000000000051,8.74614143371582,8.653339111664407,0.4997009498677639,0.6978455781936646
UV,M4_002,Lab_a,-7.400000000000052,8.820316314697266,8.75849179929653,0.5079259073024552,0.7641133666038513
UV,M4_002,Lab_a,-7.200000000000053,8.909073829650879,8.858125377272753,0.5157191644827888,0.7730883955955505
UV,M4_002,Lab_a,-7.000000000000053,8.956336975097656,8.954911837404401,0.5232897224282241,0.7539335489273071
